categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,nodo_padre,Titulo_proyecto,año
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Investigación y desarrollo,Formación del Recurso Humano,Universidades sostenibles: Estrategia para la optimización del consumo de energía y agua en las IES,2025
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajos de grado de pregrado,Formación del Recurso Humano,Diseño del Prototipo de una Planta de Compostaje para la Corporación Universitaria Adventista Colombia Corporación Universitaria Adventista,2023
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajos de grado de pregrado,Formación del Recurso Humano,Propuesta De Creación Del Consultorio Logístico De La Corporación Universitaria Adventista UNAC Corporación Universitaria Adventista Corporación Universitaria Adventista,2023
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajos de grado de pregrado,Formación del Recurso Humano,Documentación del Programa de Aprovechamiento de Residuos Sólidos en la Industria de Alimentos Vitarrico Corporación Universitaria Adventista,2023
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Evaluación del desarrollo de las habilidades sociales en estudiantes bachilleres posterior a la aplicación de la metodología Aprendizaje Basado en Retos Corporación Universitaria Adventista,2019
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Estado de las relaciones colaborativas de tres empresas en Antioquia UNIVERSIDAD DE ANTIOQUIA,2013
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,"ANÁLISIS DE LOS IMPACTOS SOCIALES DE LAS PEQUEÑAS CENTRALES HIDROELÉCTRICAS (PCH) EN LAS COMUNIDADES DEL ORIENTE ANTIOQUEÑO: CASO PCH EL POPAL, MUNICIPIO DE COCORNÁ UNIVERSIDAD DE MEDELLIN",2020
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Desarrollo de tecnologías para el apoyo de pequeñas y medianas empresas rurales agroindustriales UNIVERSIDAD DE MEDELLIN,2020
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Propuesta para el desarrollo de un modelo de negocio eficiente de frutas pequeñas con generación de valor al sector agroindustrial y comercial en Colombia UNIVERSIDAD DE MEDELLIN,2019
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,Estudio de prefactibilidad técnica y financiera para la producción de pulpas y néctares de frutas pequeñas en una empresa del oriente Antioqueño. UNIVERSIDAD DE MEDELLIN,2020
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajos de grado de pregrado,Formación del Recurso Humano,¿MEJORAMIENTO DEL SISTEMA PRODUCTIVO EN LA EMPRESA DE INVERSIONES MAX FASHION GIRLS S.A.S DE LA CUIDAD DE MEDELLÍN EMPLEANDO HERRAMIENTAS LEAN Corporación Universitaria Americana,2019
Investigador Senior,Ana Cristina Zuniga Zapata,Femenino,Doctorado,Trabajo de grado de maestría o especialidad clínica,Formación del Recurso Humano,"Bioeconomia y desarrollo socioeconomico en Colombia, retos y oportunidades para un pais megadiverso UNIVERSIDAD DE MEDELLIN",2018
